distance,key
1.446,"down"
3.87095,"up"
9.53,"down"
02.1801543294374,"up"
828.1744985206922,"right"
824.1025421632917,"left"
820.1762005813141,"left"
817.3524331645438,"down"
812.1779361691624,"up"
808.1045724409682,"down"
805.1490545234466,"up"
803.3237205510616,"up"
799.8124780221924,"down"
795.8316404868557,"down"
791.8509960844906,"left"
787.8705477424575,"left"
838.9737778977362,"left"
807.8130971951371,"left"
776.8043511721597,"down"
773.9935400247214,"left"
771.1841544015282,"right"
758.31523787934,"up"
783.9623715459818,"down"
809.6974743692856,"left"
806.8339358257064,"left"
803.9713925258784,"right"
12.932,"up"
15.41,"down"
14.045,"down"
18.02,"down"
19.02,"left"
20.4309,"left"
21.587,"down"
24.895,"down"
27.233,"left"
30.184,"up"
36.687,"down"
39.009,"up"
45.468,"up"
54.3585,"up"
78.76503,"left"
81.5608,"left"
86.9904,"left"
91.44,"right"
95.85,"left"
100.456,"right"
104.967,"left"
105.98,"up"
103.299,"down"
115.431,"down"
807.5574282984461,"left"
822.7083322782139,"left"
857.5249267514035,"left"
909.7521640534856,"right"
976.6007372514113,"right"
985.7002586993675,"right"
1028.7322294941478,"right"
1024.5511212233384,"left"
1020.3773811683596,"up"
1016.2111001165063,"down"
1012.0523701864445,"down"
1007.9012848488685,"up"
1003.7579389474337,"right"
999.6224287199642,"left"
995.4948518199378,"down"
991.3753073382451,"up"
987.2638958252246,"up"
891.4869600841058,"right"
886.7603960484478,"down"
882.0368473028777,"left"
877.3163625511609,"left"
872.5989915190138,"left"
867.8847849801263,"right"
863.173794782951,"down"
858.4660738782867,"up"
853.7616763476796,"up"
849.0606574326713,"up"
790.5694150420949,"down"
785.5730392522391,"down"
780.5767098754612,"left"
775.5804278087477,"up"
770.5841939723394,"left"
765.5880093104907,"right"
760.5918747922568,"right"
755.5957914123132,"down"
750.5997601918082,"down"
745.6037821792484,"up"
740.607858451421,"up"
926.2143380449257,"down"
921.7255556834691,"right"
917.2420618353696,"left"
912.763934432118,"up"
908.2912528478957,"right"
903.8240979305652,"right"
899.3625520333833,"left"
894.9066990474482,"left"
890.456624434902,"up"
886.0124152629014,"right"
881.5741602383772,"down"
937.8789900621508,"right"
933.3820225395388,"right"
928.8901980320387,"left"
924.4035915118461,"up"
919.9222793258135,"right"
915.4463392247521,"left"
910.9758503934119,"left"
906.510893481154,"left"
902.0515506333327,"left"
897.597905523403,"down"
893.1500433857684,"down"
921.5101735737918,"left"
917.2000872219758,"up"
912.897036910516,"down"
908.6011226055139,"down"
904.312446005251,"right"
900.0311105734067,"up"
895.7572215728992,"left"
891.4908861003572,"up"
887.2322131212325,"down"
882.9813135055578,"right"
878.7383000643594,"right"
924.099561735639,"left"
919.5895823681345,"left"
807.5574282984461,"down"
822.7083322782139,"left"
857.5249267514035,"left"
909.7521640534856,"right"
976.6007372514113,"right"
985.7002586993675,"right"
985.7002586993675,"left"
1028.7322294941478,"right"
1024.5511212233384,"right"
1020.3773811683596,"right"
1016.2111001165063,"left"
1012.0523701864445,"right"
